vendas;;;;Anuncios;;Envios;
Numero da Venda;Data da Venda;Estado Atual;Quantidade por SKU;SKU;Loja Oficial;Data a Caminho;Data de Entrega
2000011242970083;27 de janeiro de 2026 10:21 hs.;Etiqueta pronta para imprimir;1;2-CHIFRE-PT;Dom Stark; ; 
2000014883501788;27 de janeiro de 2026 10:03 hs.;Venda cancelada. Não envie.;1;2-CHIFRE-PT;Dom Stark; ; 
2000011242531689;27 de janeiro de 2026 09:52 hs.;Pronto para coleta. Está atrasado 1 dia e isso não afetou sua reputação;1;2-GRUVYER-PT;Dom Stark; ; 
2000011242489983;27 de janeiro de 2026 09:49 hs.;Para entregar na coleta de amanhã;1;1-ALLEGRA-PT;Dom Stark; ; 
2000011242434637;27 de janeiro de 2026 09:46 hs.;Pronto para coleta. Está atrasado 1 dia e isso não afetou sua reputação;2;1-ALLEGRA-PT;Dom Stark; ; 
2000011241993943;27 de janeiro de 2026 09:13 hs.;Para entregar na coleta do dia 4 de fevereiro;6;1-GRUVYER-PT;Dom Stark; ; 
2000014882787704;27 de janeiro de 2026 08:57 hs.;Pronto para coleta. Está atrasado 1 dia e isso não afetou sua reputação;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011241738011;27 de janeiro de 2026 08:50 hs.;A caminho;1;6-ALLEGRA-PT;Dom Stark;28 de janeiro | 04:56; 
2000011241594713;27 de janeiro de 2026 08:38 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark;28 de janeiro | 04:00; 
2000011241594069;27 de janeiro de 2026 08:37 hs.;A caminho;2;1-CREATINA-300G; ;28 de janeiro | 02:55; 
2000011241558493;27 de janeiro de 2026 08:36 hs.;A caminho;6;2-GRUVYER-PT;Dom Stark;28 de janeiro | 03:40; 
2000011241558495;27 de janeiro de 2026 08:35 hs.;A caminho;6;2-GRUVYER-PT;Dom Stark;28 de janeiro | 03:40; 
2000011241517239;27 de janeiro de 2026 08:30 hs.;A caminho;1;1-ALLEGRA-PT;Dom Stark;28 de janeiro | 04:56; 
2000011241498125;27 de janeiro de 2026 08:29 hs.;Pronto para coleta;1;8-GRUVYER-PT;Dom Stark; ; 
2000011241473423;27 de janeiro de 2026 08:26 hs.;Para entregar na coleta do dia 2 de fevereiro;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011241438447;27 de janeiro de 2026 08:23 hs.;Para entregar na coleta do dia 20 de fevereiro;2;1-ALLEGRA-PT;Dom Stark; ; 
2000011240885551;27 de janeiro de 2026 07:02 hs.;Pronto para coleta;3;2-GRUVYER-PT;Dom Stark; ; 
2000011240788379;27 de janeiro de 2026 06:44 hs.;Pronto para coleta;4;1-ALLEGRA-PT;Dom Stark; ; 
2000011240492187;27 de janeiro de 2026 04:25 hs.;Para entregar na coleta de amanhã;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011240452479;27 de janeiro de 2026 04:04 hs.;A caminho;1;2-GRUVYER-PT;Dom Stark;28 de janeiro | 04:19; 
